mid_date, v [m/yr], satellite, dt (days)
2021-07-13T06:39:20.000Z,1108, Sentinel 2, 75 
2017-09-19T12:42:24.392Z,958, Sentinel 1, 12 
2017-07-02T19:00:06.000Z,1040, Sentinel 2, 160 
2019-01-17T06:29:20.000Z,1200, Sentinel 2, 335 
2019-11-12T18:19:24.000Z,898, Sentinel 2, 360 
2018-05-26T06:09:54.999Z,1254, Sentinel 2, 15 
2022-09-09T18:10:01.000Z,718, Sentinel 2, 20 
2019-01-07T06:29:50.000Z,1187, Sentinel 2, 235 
2018-04-11T12:42:22.417Z,915, Sentinel 1, 12 
2019-01-23T06:49:15.000Z,1182, Sentinel 2, 275 
2018-11-06T18:49:30.999Z,1203, Sentinel 2, 290 
2019-08-04T18:19:51.000Z,934, Sentinel 2, 90 
2018-07-20T18:19:31.000Z,1217, Sentinel 2, 110 
2019-07-09T06:39:25.000Z,1361, Sentinel 2, 25 
2020-06-20T06:29:20.000Z,1233, Sentinel 2, 25 
2017-09-19T18:41:09.000Z,906, Sentinel 2, 20 
2019-01-28T19:00:09.000Z,1183, Sentinel 2, 260 
2021-06-02T06:19:20.000Z,930, Sentinel 2, 15 
2020-08-17T18:49:21.000Z,661, Sentinel 2, 10 
2016-12-27T18:19:21.500Z,872, Sentinel 2, 270 
2019-07-02T18:59:23.999Z,1151, Sentinel 2, 90 
2020-01-14T06:19:50.000Z,839, Sentinel 2, 235 
2020-01-28T19:00:06.000Z,871, Sentinel 2, 260 
2019-08-10T06:30:05.000Z,899, Sentinel 2, 85 
2022-07-23T06:39:25.000Z,1139, Sentinel 2, 15 
2020-08-31T07:09:50.000Z,505, Sentinel 2, 45 
2019-12-26T06:39:25.000Z,806, Sentinel 2, 255 
2016-08-05T18:40:31.500Z,849, Sentinel 2, 110 
2018-11-07T19:09:14.000Z,1203, Sentinel 2, 350 
2018-06-22T18:09:56.000Z,1263, Sentinel 2, 40 
2014-04-28T18:25:08.772Z,1104, Landsat 7, 16 
2020-06-24T06:59:19.999Z,1136, Sentinel 2, 65 
2019-06-17T18:09:21.000Z,1299, Sentinel 2, 60 
2020-06-10T06:29:20.000Z,1197, Sentinel 2, 55 
2020-06-16T18:09:21.000Z,1156, Sentinel 2, 70 
2018-07-29T06:40:00.000Z,1207, Sentinel 2, 105 
2018-12-13T06:29:20.000Z,1184, Sentinel 2, 265 
2019-12-18T06:29:20.000Z,808, Sentinel 2, 275 
